movie_title,imdb_score,title_year,actor_1_name,content_rating,duration,director_name,gross,genres,budget,aspect_ratio
Batman & Robin ,3.7,1997,Michael Gough,PG-13,125,Joel Schumacher,107285004,Action,125000000,1.85
Batman Returns ,7,1992,Michael Gough,PG-13,126,Tim Burton,162831698,Action,80000000,1.85
Kill Bill: Vol. 1 ,8.1,2003,David Carradine,R,111,Quentin Tarantino,70098138,Action,30000000,2.35
Out of Inferno ,5.7,2013,Louis Koo,PG-13,107,Danny Pang,,Action,,1.85
The Man with the Iron Fists ,5.4,2012,Rick Yune,R,107,RZA,15608545,Action,15000000,2.35
Ong-bak 2 ,6.2,2008,Nirut Sirichanya,R,110,Tony Jaa,102055,Action,300000000,2.35
Reign of Assassins ,6.9,2010,Woo-sung Jung,R,117,Chao-Bin Su,,Action,12000000,2.35
Excessive Force ,5.1,1993,Burt Young,R,87,Jon Hess,1200000,Action,3000000,1.85
Code of Honor ,4.2,2016,Scott Takeda,R,106,Michael Winnick,,Action,8000000,
Kickboxer: Vengeance ,9.1,2016,Matthew Ziff,,90,John Stockwell,,Action,17000000,
Diamond Ruff ,4.3,2015,Luis Sanchez,R,82,Alec Asten,,Action,500000,
Quantum of Solace ,6.7,2008,Giancarlo Giannini,PG-13,106,Marc Forster,168368427,Action|Adventure,200000000,2.35
Batman Begins ,8.3,2005,Christian Bale,PG-13,128,Christopher Nolan,205343774,Action|Adventure,150000000,2.35
Hercules ,6,2014,Dwayne Johnson,PG-13,101,Brett Ratner,72660029,Action|Adventure,100000000,2.35
Hercules ,6,2014,Dwayne Johnson,PG-13,101,Brett Ratner,72660029,Action|Adventure,100000000,2.35
Batman ,7.6,1989,Michael Gough,PG-13,126,Tim Burton,251188924,Action|Adventure,35000000,1.85
The Man in the Iron Mask ,6.4,1998,Leonardo DiCaprio,PG-13,132,Randall Wallace,56876365,Action|Adventure,35000000,1.85
DOA: Dead or Alive ,4.8,2006,Steve Howey,PG-13,87,Corey Yuen,480314,Action|Adventure,21000000,2.35
Indiana Jones and the Temple of Doom ,7.6,1984,Harrison Ford,PG,118,Steven Spielberg,179870271,Action|Adventure,28000000,2.35
Raiders of the Lost Ark ,8.5,1981,Harrison Ford,PG,115,Steven Spielberg,242374454,Action|Adventure,18000000,2.35
Valley of the Wolves: Iraq ,6,2006,Necati Sasmaz,,122,Serdar Akar,,Action|Adventure,8300000,1.85
Falcon Rising ,5.8,2014,Michael Jai White,R,103,Ernie Barbarash,8691,Action|Adventure,4500000,
Osmosis Jones ,6.2,2001,Ron Howard,PG,95,Bobby Farrelly,13596911,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,70000000,2.35
